Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,win_rate_mepr
foreman,5,nr,nan,-0.000517000000000678,nan,0.8,nan,nan,nan,nan,nan,-0.01957714210110879,nan,0.2,nan,-0.0226194529377338,nan,0.4,nan,-0.00031920000000000836,nan,0.2,nan,0.005802432198506758,nan,0.6,nan,-0.0005491914830711986,nan,0.6
foreman,5,hqdn3d,0.49453600000000364,0.0558595999999973,-0.43867640000000635,0.8,nan,nan,nan,nan,0.8706234756648392,0.09867398739614686,-0.7719494882686924,0.8,0.10973951968134799,0.09446335350571715,-0.015276166175630837,0.8,0.00797800000000004,0.0005236000000000019,-0.007454400000000039,0.6,0.9814835211891921,0.041241564663802424,-0.9402419565253897,1.0,0.06188645825938921,-0.009404846071670492,-0.07129130433105971,0.0
foreman,5,dwt,1.1394660000000059,-0.2693850000000012,-1.408851000000007,0.0,nan,nan,nan,nan,2.637003542273966,-0.09366056278051645,-2.7306641050544824,0.4,-1.7911695616772896,-0.37565088011271613,1.4155186815645735,0.0,0.04092499999999999,-0.001129800000000003,-0.04205479999999999,0.4,2.1191339142392938,0.3662970230404817,-1.7528368911988121,1.0,0.0891805875740399,-0.12809667236479283,-0.21727725993883273,0.0
foreman,5,gaussian,-5.997549999999997,-4.322968600000002,1.6745813999999948,0.0,nan,nan,nan,nan,-0.4979839966359947,-4.4043745143696444,-3.9063905177336498,0.0,-10.293102835299546,-5.197181796388437,5.09592103891111,0.0,-0.008889999999999953,-0.04013279999999999,-0.031242800000000036,0.0,6.287797986090139,1.676741401067709,-4.61105658502243,1.0,0.10394261544456285,-0.22567151608089028,-0.32961413152545316,0.0
foreman,5,prop,2.069592,0.07178739999999806,-1.997804600000002,1.0,nan,nan,nan,nan,5.058629189454582,0.027813522748742513,-5.0308156667058395,0.6,1.4610676108716945,-0.057140012469951526,-1.518207623341646,0.2,0.03396100000000002,0.0032801999999999775,-0.030680800000000043,1.0,2.0842807015336104,0.1605690714593324,-1.923711630074278,1.0,0.1513551618791531,-0.02480366944256267,-0.17615883132171578,0.0
foreman,10,nr,nan,0.0019043999999993843,nan,0.6,nan,nan,nan,nan,nan,-0.003404216828702289,nan,0.6,nan,0.0070557889814445215,nan,0.6,nan,1.100000000000545e-05,nan,0.6,nan,-0.008130709783327106,nan,0.2,nan,0.002701920535883917,nan,0.8
foreman,10,hqdn3d,0.10097599999999929,0.016474600000000096,-0.0845013999999992,0.8,nan,nan,nan,nan,0.15917506150674754,0.047350372207391446,-0.1118246892993561,1.0,0.045911350550774443,0.05041219029656787,0.0045008397457934265,1.0,-3.199999999992098e-05,3.839999999997179e-05,7.039999999989278e-05,0.6,0.5547689816912218,0.01767533935702481,-0.537093642334197,0.8,0.01214109403307212,0.004144803524055574,-0.007996290509016546,0.8
foreman,10,dwt,2.995460999999999,0.4764257999999984,-2.5190352000000003,0.8,nan,nan,nan,nan,3.4000153421077606,0.7736599161550423,-2.626355425952718,1.0,1.3873559312812596,0.28833147047060803,-1.0990244608106514,0.6,0.08469800000000005,0.016935000000000013,-0.06776300000000005,1.0,3.9821156453096886,0.7521616546136889,-3.229953990696,1.0,0.2412956258241768,-0.06238586308262941,-0.3036814889068062,0.2
foreman,10,gaussian,-0.1926489999999994,-2.8679346000000003,-2.675285600000001,0.0,nan,nan,nan,nan,5.2154869208483134,-2.686619338957775,-7.9021062598060885,0.0,-4.420701223315987,-3.782673410893878,0.6380278124221093,0.0,0.10879100000000008,-0.013290800000000002,-0.12208180000000009,0.2,11.44631746765831,2.360737025571327,-9.085580442086984,1.0,0.4489700317403685,-0.1551564573390533,-0.6041264890794218,0.0
foreman,10,prop,4.216439999999999,0.48849479999999945,-3.7279451999999993,1.0,nan,nan,nan,nan,8.916578836188524,0.6153220411461937,-8.301256795042331,0.8,2.715604589815225,0.04020878360437621,-2.6753958062108487,0.6,0.11136100000000004,0.019037199999999976,-0.09232380000000007,1.0,7.168218288225555,0.8915127370745097,-6.2767055511510454,1.0,0.3208779810274544,0.009754906078065262,-0.3111230749493891,0.4
