Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,bd_rate_psnr,mean_delta_psnr,low_bitrate_delta_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,bd_rate_msssim,mean_delta_msssim,low_bitrate_delta_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,bd_rate_psnrb,mean_delta_psnrb,low_bitrate_delta_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,bd_rate_epsnr,mean_delta_epsnr,low_bitrate_delta_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,bd_rate_ssim,mean_delta_ssim,low_bitrate_delta_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,bd_rate_gbim,mean_delta_gbim,low_bitrate_delta_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,bd_rate_mepr,mean_delta_mepr,low_bitrate_delta_mepr,win_rate_mepr,pre_delta_vmaf,post_delta_vmaf,codec_gain_vmaf,bd_rate_vmaf,mean_delta_vmaf,low_bitrate_delta_vmaf,win_rate_vmaf
foreman,5,nr,nan,-0.000517000000000678,nan,-0.26893199155594294,-0.000517000000000678,-0.0067190000000015475,0.8,nan,nan,nan,nan,nan,nan,nan,nan,-0.01957714210110879,nan,0.8172678518591603,-0.01957714210110879,-0.02328586525991246,0.2,nan,-0.0226194529377338,nan,0.9456001935409519,-0.0226194529377338,-0.037205356567568515,0.4,nan,-0.00031920000000000836,nan,1.3599385930100683,-0.00031920000000000836,-0.0005543333333333603,0.2,nan,0.005802432198506758,nan,,0.005802432198506758,0.011901295974695655,0.6,nan,-0.0005491914830711986,nan,1.395694145217341,-0.0005491914830711986,-0.0009780934886679156,0.6,nan,nan,nan,nan,nan,nan,nan
foreman,5,hqdn3d,0.49453600000000364,0.0558595999999973,-0.43867640000000635,-1.4531848915862566,0.0558595999999973,0.0018443333333320784,0.8,nan,nan,nan,nan,nan,nan,nan,0.8706234756648392,0.09867398739614686,-0.7719494882686924,-2.423090355267976,0.09867398739614686,0.04503438243474989,0.8,0.10973951968134799,0.09446335350571715,-0.015276166175630837,-1.3671622941251793,0.09446335350571715,0.030290556145142016,0.8,0.00797800000000004,0.0005236000000000019,-0.007454400000000039,-9.143015371554664,0.0005236000000000019,-0.0004313333333333391,0.6,0.9814835211891921,0.041241564663802424,-0.9402419565253897,,0.041241564663802424,0.020836486985953268,1.0,0.06188645825938921,-0.009404846071670492,-0.07129130433105971,7.112392698978942,-0.009404846071670492,-0.008608656245209456,0.0,nan,nan,nan,nan,nan,nan,nan
foreman,5,dwt,1.1394660000000059,-0.2693850000000012,-1.408851000000007,6.065144552615043,-0.2693850000000012,-0.2833763333333342,0.0,nan,nan,nan,nan,nan,nan,nan,2.637003542273966,-0.09366056278051645,-2.7306641050544824,0.7176612892756618,-0.09366056278051645,-0.1334547442834856,0.4,-1.7911695616772896,-0.37565088011271613,1.4155186815645735,8.573803206100905,-0.37565088011271613,-0.3304038678662226,0.0,0.04092499999999999,-0.001129800000000003,-0.04205479999999999,-18.96529751254675,-0.001129800000000003,-0.00281400000000002,0.4,2.1191339142392938,0.3662970230404817,-1.7528368911988121,,0.3662970230404817,0.2449427629236247,1.0,0.0891805875740399,-0.12809667236479283,-0.21727725993883273,151.15447419189607,-0.12809667236479283,-0.09500897168042959,0.0,nan,nan,nan,nan,nan,nan,nan
foreman,5,gaussian,-5.997549999999997,-4.322968600000002,1.6745813999999948,290.1484539906744,-4.322968600000002,-3.4724090000000025,0.0,nan,nan,nan,nan,nan,nan,nan,-0.4979839966359947,-4.4043745143696444,-3.9063905177336498,197.2985724133117,-4.4043745143696444,-3.510808693312338,0.0,-10.293102835299546,-5.197181796388437,5.09592103891111,335.6105408619884,-5.197181796388437,-3.9770535384335624,0.0,-0.008889999999999953,-0.04013279999999999,-0.031242800000000036,2.196958203920407,-0.04013279999999999,-0.03602466666666667,0.0,6.287797986090139,1.676741401067709,-4.61105658502243,,1.676741401067709,1.3914151819505498,1.0,0.10394261544456285,-0.22567151608089028,-0.32961413152545316,nan,-0.22567151608089028,-0.18450648616479723,0.0,nan,nan,nan,nan,nan,nan,nan
foreman,5,prop,2.069592,0.07178739999999806,-1.997804600000002,-2.34585650752388,0.07178739999999806,0.02065333333333304,1.0,nan,nan,nan,nan,nan,nan,nan,5.058629189454582,0.027813522748742513,-5.0308156667058395,-0.9657145254797661,0.027813522748742513,-0.02668760278317232,0.6,1.4610676108716945,-0.057140012469951526,-1.518207623341646,2.2428811097877643,-0.057140012469951526,-0.08818964080753726,0.2,0.03396100000000002,0.0032801999999999775,-0.030680800000000043,-19.01986125653188,0.0032801999999999775,0.00197899999999999,1.0,2.0842807015336104,0.1605690714593324,-1.923711630074278,,0.1605690714593324,0.10770489886405521,1.0,0.1513551618791531,-0.02480366944256267,-0.17615883132171578,17.500514331657534,-0.02480366944256267,-0.02021770356975028,0.0,nan,nan,nan,nan,nan,nan,nan
foreman,10,nr,nan,0.0019043999999993843,nan,0.8887156296263132,0.0019043999999993843,-0.005948000000001248,0.6,nan,nan,nan,nan,nan,nan,nan,nan,-0.003404216828702289,nan,-61.97424387342589,-0.003404216828702289,0.003034512039846504,0.6,nan,0.0070557889814445215,nan,1.7126211488712961,0.0070557889814445215,0.006207105055439162,0.6,nan,1.100000000000545e-05,nan,-33.12930857393187,1.100000000000545e-05,-8.66666666665683e-06,0.6,nan,-0.008130709783327106,nan,,-0.008130709783327106,-0.005432065556824443,0.2,nan,0.002701920535883917,nan,-3.583962147676001,0.002701920535883917,0.003370749976259709,0.8,nan,nan,nan,nan,nan,nan,nan
foreman,10,hqdn3d,0.10097599999999929,0.016474600000000096,-0.0845013999999992,-20.300129643469756,0.016474600000000096,0.004369333333333003,0.8,nan,nan,nan,nan,nan,nan,nan,0.15917506150674754,0.047350372207391446,-0.1118246892993561,402.9189540372698,0.047350372207391446,0.05286819080173899,1.0,0.045911350550774443,0.05041219029656787,0.0045008397457934265,-1.457767110446695,0.05041219029656787,0.06680801512480627,1.0,-3.199999999992098e-05,3.839999999997179e-05,7.039999999989278e-05,-58.06239280552856,3.839999999997179e-05,-0.00034700000000002323,0.6,0.5547689816912218,0.01767533935702481,-0.537093642334197,,0.01767533935702481,0.010669098702043614,0.8,0.01214109403307212,0.004144803524055574,-0.007996290509016546,2.1153467705194995,0.004144803524055574,0.002168228687208266,0.8,nan,nan,nan,nan,nan,nan,nan
foreman,10,dwt,2.995460999999999,0.4764257999999984,-2.5190352000000003,-65.58322707366715,0.4764257999999984,0.20629966666666633,0.8,nan,nan,nan,nan,nan,nan,nan,3.4000153421077606,0.7736599161550423,-2.626355425952718,6167641.373950642,0.7736599161550423,0.32589101619186894,1.0,1.3873559312812596,0.28833147047060803,-1.0990244608106514,-3.4759092348793597,0.28833147047060803,0.08324087715559376,0.6,0.08469800000000005,0.016935000000000013,-0.06776300000000005,-97.79529243433439,0.016935000000000013,0.008728000000000033,1.0,3.9821156453096886,0.7521616546136889,-3.229953990696,,0.7521616546136889,0.41550575079887003,1.0,0.2412956258241768,-0.06238586308262941,-0.3036814889068062,-90.77750404454204,-0.06238586308262941,-0.09519483125057548,0.2,nan,nan,nan,nan,nan,nan,nan
foreman,10,gaussian,-0.1926489999999994,-2.8679346000000003,-2.675285600000001,143.48181483818374,-2.8679346000000003,-2.6032420000000003,0.0,nan,nan,nan,nan,nan,nan,nan,5.2154869208483134,-2.686619338957775,-7.9021062598060885,4991063.236630746,-2.686619338957775,-2.58048928368702,0.0,-4.420701223315987,-3.782673410893878,0.6380278124221093,338.5675978195009,-3.782673410893878,-3.1614203167049717,0.0,0.10879100000000008,-0.013290800000000002,-0.12208180000000009,-98.81612002149215,-0.013290800000000002,-0.019473,0.2,11.44631746765831,2.360737025571327,-9.085580442086984,,2.360737025571327,1.71832018505468,1.0,0.4489700317403685,-0.1551564573390533,-0.6041264890794218,nan,-0.1551564573390533,-0.19938936420533257,0.0,nan,nan,nan,nan,nan,nan,nan
foreman,10,prop,4.216439999999999,0.48849479999999945,-3.7279451999999993,-66.53989639876625,0.48849479999999945,0.24486633333333194,1.0,nan,nan,nan,nan,nan,nan,nan,8.916578836188524,0.6153220411461937,-8.301256795042331,5385641.167098558,0.6153220411461937,0.2066705515759845,0.8,2.715604589815225,0.04020878360437621,-2.6753958062108487,-0.06364086746323272,0.04020878360437621,-0.10652022171222934,0.6,0.11136100000000004,0.019037199999999976,-0.09232380000000007,-97.39219315935406,0.019037199999999976,0.011831333333333305,1.0,7.168218288225555,0.8915127370745097,-6.2767055511510454,,0.8915127370745097,0.5254440521167739,1.0,0.3208779810274544,0.009754906078065262,-0.3111230749493891,-24.45006703090603,0.009754906078065262,-0.05898237239681081,0.4,nan,nan,nan,nan,nan,nan,nan
