stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
post_x264,gaussian,100,97.304,10,foreman,,27.687067,0.806206,nan,0.912677,20.53588866524664,25.279435797582188,3.214244650967035,0.6400557255495255,3.3485601760182053
post_x264,gaussian,200,192.72,10,foreman,,28.745551,0.847005,nan,0.943544,21.538337687337084,26.52946441033553,3.271602126609394,0.6802210151221832,3.365909098208514
post_x264,gaussian,300,291.194,10,foreman,,29.065204,0.859917,nan,0.950764,21.85765591042525,26.894830783992575,3.2971425722479504,0.7155766080391516,3.370050545759356
post_x264,gaussian,400,390.917,10,foreman,,29.233939,0.867175,nan,0.954269,22.01874604499615,27.063924872433297,3.3230088223038807,0.7400039847945552,3.3667116841520803
post_x264,gaussian,500,492.242,10,foreman,,29.35038,0.871656,nan,0.956226,22.14774121613237,27.20371443743001,3.348086250797007,0.7625824921066762,3.3344608561012734
post_x264,prop,100,98.392,10,foreman,,29.185335,0.824224,nan,0.921905,21.79956486160694,26.559235686006602,3.974720906112622,0.7310056636201423,1.684942728180375
post_x264,prop,200,198.359,10,foreman,,32.000867,0.884557,nan,0.962283,25.087942316522017,29.78627531345699,4.567048943197199,0.8300430590964842,1.1765279209597317
post_x264,prop,300,299.993,10,foreman,,32.855945,0.89826,nan,0.968913,26.209075369858247,30.719699498235716,4.819847899328277,0.896025601419799,0.9886538528823056
post_x264,prop,400,401.065,10,foreman,,33.278148,0.902659,nan,0.970435,26.821941311804885,31.08392379777115,5.095527506515879,0.9469291301501154,0.8687514383311474
post_x264,prop,500,502.774,10,foreman,,33.543993,0.903899,nan,0.970661,27.29425663683668,31.331942906822988,5.343060610255377,0.9589931884111437,0.7626591862672742
