stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
post_x264,gaussian,100,95.706,0,akiyo,,32.747797,0.936445,nan,0.975605,23.163341170234368,29.240263109165912,2.300855284223744,0.44194119024066103,3.3065154853275596
post_x264,gaussian,200,196.112,0,akiyo,,33.087449,0.945429,nan,0.979763,23.714818219112388,29.939425340547206,2.320409885119188,0.4410592276250687,3.389654206133148
post_x264,gaussian,300,297.647,0,akiyo,,33.175998,0.947938,nan,0.980716,23.85371320927313,30.113880097014437,2.387171215546942,0.44372521864275905,3.400831219311836
post_x264,gaussian,400,399.706,0,akiyo,,33.208498,0.949196,nan,0.981116,23.89807665314869,30.17407705584534,2.429302246929427,0.4435371039276774,3.4387238779751774
post_x264,gaussian,500,502.022,0,akiyo,,33.23119,0.949975,nan,0.981364,23.93218367034502,30.21762109768615,2.452117338948734,0.4436273963163653,3.4395160483013987
post_x264,prop,100,97.82,0,akiyo,,39.198495,0.966682,nan,0.990636,29.05919507534684,34.049778748354186,3.4560270863395868,0.654859553723415,0.5154480102841079
post_x264,prop,200,198.63,0,akiyo,,42.539754,0.979804,nan,0.995626,34.081832726640044,38.17315059755317,3.589977741493003,0.706208076431247,0.2744628873210345
post_x264,prop,300,299.586,0,akiyo,,44.150752,0.984359,nan,0.996991,36.65043591445003,40.130629837117255,3.7371350094242533,0.7307341672432965,0.21657614963230573
post_x264,prop,400,400.606,0,akiyo,,45.181127,0.98689,nan,0.99767,38.33919257356948,41.28964256055217,3.8441891314166026,0.7411660696367682,0.20188378443792096
post_x264,prop,500,502.429,0,akiyo,,45.916897,0.988627,nan,0.998088,39.62147763940805,42.33556749586845,3.9301196348870766,0.7558296334257656,0.18493645268623818
